scenario,num_samples,accuracy,macro_f1,top3_accuracy,roc_auc_unknown,eer
direct_to_vpn,9793,0.3678137445113857,0.35302903999784596,0.7521699172878586,,
mixed,4688,0.7265358361774744,0.6708781481984549,0.9829351535836177,,
open_set,9793,0.39539883895936356,0.353362203293671,0.7930552569339927,0.4503061120377503,0.5189732098871933
