dataset,num_rows,num_features,num_train,num_test,accuracy,macro_f1,vpn_precision,vpn_recall,roc_auc,average_precision
TimeBasedFeatures-Dataset-120s.arff,10782,23,8086,2696,0.8909495548961425,0.8904280172854729,0.8778833107191316,0.9190340909090909,0.960156139716262,0.9579544390897976
TimeBasedFeatures-Dataset-15s.arff,18758,23,14068,4690,0.9194029850746268,0.9190762748629497,0.9078377313903111,0.9412004899959167,0.9768545622078169,0.9775961671620594
TimeBasedFeatures-Dataset-30s.arff,14651,23,10988,3663,0.9036309036309036,0.9030965816158101,0.8950524737631185,0.9260599793174767,0.9702618450509378,0.9714515438664003
TimeBasedFeatures-Dataset-60s.arff,15516,23,11637,3879,0.8966228409383862,0.8958874833379238,0.8664101154480484,0.908881199538639,0.963295854472325,0.9531736681167018
